224808	춤이 생각날 때까지	일본 데뷔 쇼케이스	공연	데뷔쇼	일본 데뷔 쇼케이스	2019. 1. 20.	661087767
326324	꿈을 꾸는 동안	일본 데뷔 쇼케이스	공연	데뷔쇼	일본 데뷔 쇼케이스	2019. 1. 20.	655832809
c5da88	Suki to Iwasetai	일본 데뷔 쇼케이스	공연	데뷔쇼	일본 데뷔 쇼케이스	2019. 1. 20.	655829972
6ca668	O' My!	일본 데뷔 쇼케이스	공연	데뷔쇼	일본 데뷔 쇼케이스	2019. 1. 20.	661087877
eaa85d	내꺼야	일본 데뷔 쇼케이스	공연	데뷔쇼	일본 데뷔 쇼케이스	2019. 1. 20.	661087989
c3e6b1	Intro	가온차트 뮤직 어워드 2018	공연	가온차트 뮤직 어워드	2018	2019. 1. 23.	660923669
ac7656	라비앙로즈	가온차트 뮤직 어워드 2018	공연	가온차트 뮤직 어워드	2018	2019. 1. 23.	660923774
6d085c	Suki to Iwasetai	Fuji TV MUSIC FAIR	음악방송 (해외)	Suki to Iwasetai	Fuji TV MUSIC FAIR	2019. 2. 2.	660049062
35a5a0	Suki to Iwasetai	TBS CDTV	음악방송 (해외)	Suki to Iwasetai	TBS CDTV	2019. 2. 9.	660046181
eb0c84	Suki to Iwasetai	Abema TV IZ*ONE Special	음악방송 (해외)	Suki to Iwasetai	Abema TV IZ*ONE Special	2019. 2. 10.	660046421
74b8bb	라비앙로즈	Abema TV IZ*ONE Special	음악방송 (해외)	Suki to Iwasetai	Abema TV IZ*ONE Special	2019. 2. 10.	660046368
5ec3a7	반해버리잖아?	Abema TV IZ*ONE Special	음악방송 (해외)	Suki to Iwasetai	Abema TV IZ*ONE Special	2019. 2. 10.	660046306
547f61	Suki to Iwasetai	TV Asahi MUSIC STATION	음악방송 (해외)	Suki to Iwasetai	TV Asahi MUSIC STATION	2019. 2. 15.	660046474
43bdf2	Suki to Iwasetai	NTV BUZZ RHYTHM 02	음악방송 (해외)	Suki to Iwasetai	NTV BUZZ RHYTHM 02	2019. 2. 16.	660046613
6f8ea3	라비앙로즈	re:memVer party 2019	공연	re:memVer party	2019	2019. 3. 2.	656044897
176311	해바라기	HEART TO HEART*IZ	공연	컴백쇼	HEART TO HEART*IZ	2019. 4. 1.	656045865
9f97c1	하늘 위로	HEART TO HEART*IZ	공연	컴백쇼	HEART TO HEART*IZ	2019. 4. 1.	660924059
a6b36b	Suki to Iwasetai	HEART TO HEART*IZ	공연	컴백쇼	HEART TO HEART*IZ	2019. 4. 1.	660924333
93b3aa	라비앙로즈	HEART TO HEART*IZ	공연	컴백쇼	HEART TO HEART*IZ	2019. 4. 1.	656039082
e2209f	Really Like You	HEART TO HEART*IZ	공연	컴백쇼	HEART TO HEART*IZ	2019. 4. 1.	660924598
43f326	비올레타	HEART TO HEART*IZ	공연	컴백쇼	HEART TO HEART*IZ	2019. 4. 1.	660924796
848a27	환상동화	뮤직뱅크 1034회	음악방송 (한국)	KBS2 뮤직뱅크	1034회	2020. 6. 26.	658283213
0d4161	환상동화	뮤직뱅크 1035회	음악방송 (한국)	KBS2 뮤직뱅크	1035회	2020. 7. 3.	658284095
57f4b2	Panorama	뮤직뱅크 1056회	음악방송 (한국)	KBS2 뮤직뱅크	1056회	2020. 12. 11.	658904636
af05c9	라비앙로즈	쇼챔피언 291회	음악방송 (한국)	MBC every1 쇼챔피언	291회	2018. 11. 14.	657755564
bd80fb	하늘 위로	쇼챔피언 311회	음악방송 (한국)	MBC every1 쇼챔피언	311회	2019. 4. 10.	658095437
52d6a6	비올레타	쇼챔피언 311회	음악방송 (한국)	MBC every1 쇼챔피언	311회	2019. 4. 10.	658095862
72bbbc	비올레타	쇼챔피언 312회	음악방송 (한국)	MBC every1 쇼챔피언	312회	2019. 4. 17.	658235025
51b771	FIESTA	쇼챔피언 343회	음악방송 (한국)	MBC every1 쇼챔피언	343회	2020. 2. 26.	658269644
332cf8	SPACESHIP	쇼챔피언 343회	음악방송 (한국)	MBC every1 쇼챔피언	343회	2020. 2. 26.	658269853
f512d0	FIESTA	쇼챔피언 344회	음악방송 (한국)	MBC every1 쇼챔피언	344회	2020. 3. 4.	658272722
e2721c	환상동화	쇼챔피언 359회	음악방송 (한국)	MBC every1 쇼챔피언	359회	2020. 6. 24.	658280011
037d55	Pretty	쇼챔피언 359회	음악방송 (한국)	MBC every1 쇼챔피언	359회	2020. 6. 24.	658279906
1e19ee	With*One	쇼챔피언 359회	음악방송 (한국)	MBC every1 쇼챔피언	359회	2020. 6. 24.	658280141
c242a8	환상동화	쇼챔피언 360회	음악방송 (한국)	MBC every1 쇼챔피언	360회	2020. 7. 1.	658283882
0fdb1f	라비앙로즈	음악중심 609회	음악방송 (한국)	MBC 음악중심	609회	2018. 11. 3.	657752949
d1780e	라비앙로즈	음악중심 610회	음악방송 (한국)	MBC 음악중심	610회	2018. 11. 17.	658084050
00e3bb	비올레타	음악중심 627회	음악방송 (한국)	MBC 음악중심	627회	2019. 4. 6.	658090020
eb6181	비올레타	음악중심 628회	음악방송 (한국)	MBC 음악중심	628회	2019. 4. 13.	658234171
589837	비올레타	음악중심 629회	음악방송 (한국)	MBC 음악중심	629회	2019. 4. 20.	658235686
98d534	FIESTA	음악중심 668회	음악방송 (한국)	MBC 음악중심	668회	2020. 2. 22.	658268619
b37b37	SPACESHIP	음악중심 668회	음악방송 (한국)	MBC 음악중심	668회	2020. 2. 22.	658268909
24191e	FIESTA	음악중심 670회	음악방송 (한국)	MBC 음악중심	670회	2020. 3. 7.	658274143
